location_uri,barcode,title,room,coordinate_1_indicator,tc_uri,indicator,barcode
/locations/1822,NULL,"SML, B70-B [Range: 2, Section: b, Shelf: 6]",B70-B,2,NULL,NULL,NULL
/locations/1823,NULL,"SML, B70-B [Range: 2, Section: b, Shelf: 7]",B70-B,2,NULL,NULL,NULL
/locations/1824,NULL,"SML, B70-B [Range: 2, Section: c, Shelf: 1]",B70-B,2,NULL,NULL,NULL
/locations/1825,NULL,"SML, B70-B [Range: 2, Section: c, Shelf: 2]",B70-B,2,NULL,NULL,NULL
/locations/1826,NULL,"SML, B70-B [Range: 2, Section: c, Shelf: 3]",B70-B,2,NULL,NULL,NULL
/locations/1827,NULL,"SML, B70-B [Range: 2, Section: c, Shelf: 4]",B70-B,2,NULL,NULL,NULL
/locations/1828,NULL,"SML, B70-B [Range: 2, Section: c, Shelf: 5]",B70-B,2,NULL,NULL,NULL
/locations/1829,NULL,"SML, B70-B [Range: 2, Section: c, Shelf: 6]",B70-B,2,NULL,NULL,NULL
/locations/1830,NULL,"SML, B70-B [Range: 2, Section: c, Shelf: 7]",B70-B,2,NULL,NULL,NULL
/locations/1831,NULL,"SML, B70-B [Range: 2, Section: d, Shelf: 1]",B70-B,2,NULL,NULL,NULL
/locations/1832,NULL,"SML, B70-B [Range: 2, Section: d, Shelf: 2]",B70-B,2,NULL,NULL,NULL
/locations/1833,NULL,"SML, B70-B [Range: 2, Section: d, Shelf: 3]",B70-B,2,NULL,NULL,NULL
/locations/1834,NULL,"SML, B70-B [Range: 2, Section: d, Shelf: 4]",B70-B,2,NULL,NULL,NULL
/locations/1835,NULL,"SML, B70-B [Range: 2, Section: d, Shelf: 5]",B70-B,2,NULL,NULL,NULL
/locations/1837,NULL,"SML, B70-B [Range: 2, Section: d, Shelf: 7]",B70-B,2,NULL,NULL,NULL
/locations/3472,NULL,"SML, B69 [Range: 12, Section: i, Shelf: 8]",NULL,12,NULL,NULL,NULL
